Gene_id,Phi
lcl|NC_000913.3_cds_NP_414564.1_22,31.1554853443
lcl|NC_000913.3_cds_NP_414711.1_164,28.2862083198
lcl|NC_000913.3_cds_NP_415431.1_892,19.6901363203
lcl|NC_000913.3_cds_NP_415607.1_1067,39.6885097132
lcl|NC_000913.3_cds_NP_416231.1_1705,23.9973825697
lcl|NC_000913.3_cds_NP_416232.3_1706,37.5864689495
lcl|NC_000913.3_cds_NP_416690.1_2171,22.7767198611
lcl|NC_000913.3_cds_NP_417097.1_2585,30.7068514608
lcl|NC_000913.3_cds_NP_417100.1_2588,31.0549989421
lcl|NC_000913.3_cds_NP_417537.1_3016,35.8795968243
lcl|NC_000913.3_cds_NP_417634.1_3112,29.3156213306
lcl|NC_000913.3_cds_NP_417652.1_3130,28.4970440282
lcl|NC_000913.3_cds_NP_417653.1_3131,27.2845123525
lcl|NC_000913.3_cds_NP_417697.1_3175,33.3377523108
lcl|NC_000913.3_cds_NP_417698.1_3176,25.1284313576
lcl|NC_000913.3_cds_NP_417725.1_3204,0.656776717487
lcl|NC_000913.3_cds_NP_417753.1_3232,28.4805074629
lcl|NC_000913.3_cds_NP_417755.1_3234,30.1774256566
lcl|NC_000913.3_cds_NP_417756.1_3235,25.6375588556
lcl|NC_000913.3_cds_NP_417757.1_3236,24.4828102746
lcl|NC_000913.3_cds_NP_417758.1_3237,24.9360715129
lcl|NC_000913.3_cds_NP_417760.1_3239,21.818324631
lcl|NC_000913.3_cds_NP_417761.1_3240,23.2465147133
lcl|NC_000913.3_cds_NP_417762.1_3241,23.4052745861
lcl|NC_000913.3_cds_NP_417763.1_3242,22.2033376265
lcl|NC_000913.3_cds_NP_417764.1_3243,23.6325129567
lcl|NC_000913.3_cds_NP_417765.1_3244,20.2263362862
lcl|NC_000913.3_cds_NP_417766.1_3245,28.0384694078
lcl|NC_000913.3_cds_NP_417767.1_3246,23.1593450855
lcl|NC_000913.3_cds_NP_417768.1_3247,16.6407534515
lcl|NC_000913.3_cds_NP_417769.1_3248,25.0096731193
lcl|NC_000913.3_cds_NP_417770.1_3249,27.2639510883
lcl|NC_000913.3_cds_NP_417771.1_3250,20.5555887234
lcl|NC_000913.3_cds_NP_417772.1_3251,26.07757226
lcl|NC_000913.3_cds_NP_417773.1_3252,24.3042435887
lcl|NC_000913.3_cds_NP_417774.1_3253,25.5210699369
lcl|NC_000913.3_cds_NP_417775.1_3254,23.6622049907
lcl|NC_000913.3_cds_NP_417776.1_3255,24.6945107024
lcl|NC_000913.3_cds_NP_417777.1_3256,20.2244518278
lcl|NC_000913.3_cds_NP_417778.1_3257,25.3555531347
lcl|NC_000913.3_cds_NP_417779.1_3258,23.9527936518
lcl|NC_000913.3_cds_NP_417780.1_3259,27.6297417666
lcl|NC_000913.3_cds_NP_417800.1_3279,32.0808618902
lcl|NC_000913.3_cds_NP_417801.1_3280,31.2184421825
lcl|NC_000913.3_cds_NP_418093.1_3583,24.6094449407
lcl|NC_000913.3_cds_NP_418094.1_3584,35.0391795041
lcl|NC_000913.3_cds_NP_418158.1_3651,30.9806153753
lcl|NC_000913.3_cds_NP_418371.1_3864,21.5674044807
lcl|NC_000913.3_cds_NP_418410.1_3901,30.7519296617
lcl|NC_000913.3_cds_NP_418411.1_3902,27.8509770339
lcl|NC_000913.3_cds_NP_418412.1_3903,28.145389307
lcl|NC_000913.3_cds_NP_418413.1_3904,80.3803561861
lcl|NC_000913.3_cds_NP_418621.5_4119,33.4944858913
lcl|NC_000913.3_cds_NP_418623.1_4121,26.0993199548
lcl|NC_000913.3_cds_NP_418624.1_4122,22.7646294697
